canonical_product_id,shop,name,category,group,n_episodes,n_price_states,first_seen,last_seen,promo_hours,median_discount,max_discount,min_price,max_price,observed_hours,promo_days,price_spread_pct
prod_50cc7f7a7b86f7ab,magnit,"Стакан для ванной Wellfort, стекло Bohemian",прочее,хозтовары,1,1,2026-09-17 14:43:16.355,2026-09-17 16:41:13.534,1.97,27.78,27.78,129.99,129.99,1.97,0.08,0.0
prod_5406ca549009b3b9,lenta,"Шампунь для волос SOKOLOV Basil&Mandarin, для объема волос , 750 мл",косметика,уход за волосами,1,1,2026-09-17 14:43:39.605,2026-09-17 16:37:29.391,1.9,73.86,73.86,549.99,549.99,1.9,0.08,0.0
prod_5730126abeae7fd8,lenta,"Гель для душа SOKOLOV Basil&Mandarin , 400мл",косметика,уход за телом,1,1,2026-09-17 14:44:22.977,2026-09-17 16:38:08.085,1.9,41.54,41.54,159.99,159.99,1.9,0.08,0.0
prod_5905c453c9877f8d,magnit,"Мороженое Свитлогорье эскимо с драже «Неон» и взрывной карамелью 12%, 80 г",продукты,мороженое,1,1,2026-09-17 14:43:16.349,2026-09-17 16:41:13.531,1.97,35.14,35.14,119.99,119.99,1.97,0.08,0.0
prod_598e9167c0fb37ad,iledebeaute,Defy Дезодорант,косметика,парфюмерия,1,1,2026-09-17 15:06:33.352,2026-09-17 16:37:31.863,1.52,35.01,35.01,2385.0,2385.0,1.52,0.06,0.0
prod_5a544d6968ced320,magnit,"Мыльница Wellfort, стекло Bohemian",прочее,хозтовары,1,1,2026-09-17 14:43:16.354,2026-09-17 16:41:13.533,1.97,33.34,33.34,99.99,99.99,1.97,0.08,0.0
prod_5be826adba03ccc0,magnit,"Мороженое Bahroma пломбир шоколадный чизкейк, черное печенье 12%, 320 г",продукты,мороженое,1,1,2026-09-17 14:43:16.339,2026-09-17 16:41:13.527,1.97,35.07,35.07,499.99,499.99,1.97,0.08,0.0
prod_5c6a64bbe3f7cd80,magnit,"Скраб для тела Synergetic антицеллюлитный Пачули и ароматный бергамот, 300 мл",косметика,уход за телом,1,1,2026-09-17 14:43:16.375,2026-09-17 16:41:13.543,1.97,26.0,26.0,369.99,369.99,1.97,0.08,0.0
prod_5ce5cda4f9a38006,lenta,"Филе куриное в хрустящей корочке с кисло‑сладким соусом РЕСТО ШИК , 200г",продукты,готовая кулинария и консервы,1,1,2026-09-17 14:44:12.827,2026-09-17 16:37:58.834,1.9,5.0,5.0,189.99,189.99,1.9,0.08,0.0
prod_602bc172f7aca7a4,mvideo,Мяч гимнастический фитбол 75 см,прочее,спорт и отдых,1,1,2026-09-17 14:43:17.137,2026-09-17 16:41:24.855,1.97,39.11,39.11,2016.0,2016.0,1.97,0.08,0.0
