canonical_product_id,shop,episode_id,name,category,group,n_price_states,started_at,ended_at,median_discount,max_discount,min_price,max_price,duration_hours,duration_days,price_changed
prod_28af3758572fbd36,magnit,18,"Скраб для тела Synergetic Эластичность и сияние кожи, сандал и ягоды можжевельника, 300 мл",косметика,уход за телом,1,2026-09-17 14:43:16.367,2026-09-17 16:41:13.539,22.400448008960183,22.400448008960183,387.99,387.99,1.97,0.08,False
prod_63824390026c58c5,magnit,53,"Скраб для тела Synergetic Цветущий инжир и лотос, 300 мл",косметика,уход за телом,1,2026-09-17 14:43:16.369,2026-09-17 16:41:13.540,22.400448008960183,22.400448008960183,387.99,387.99,1.97,0.08,False
prod_097c0e99025cb27c,magnit,5,"Скраб для тела Synergetic карамельное яблоко и ваниль, 300 мл",косметика,уход за телом,1,2026-09-17 14:43:16.373,2026-09-17 16:41:13.542,26.00052001040021,26.00052001040021,369.99,369.99,1.97,0.08,False
prod_5c6a64bbe3f7cd80,magnit,48,"Скраб для тела Synergetic антицеллюлитный Пачули и ароматный бергамот, 300 мл",косметика,уход за телом,1,2026-09-17 14:43:16.375,2026-09-17 16:41:13.543,26.00052001040021,26.00052001040021,369.99,369.99,1.97,0.08,False
prod_6f685630f66e9218,mvideo,60,Погремушка ND Play Веселый кролик NDT-004,прочее,товары для детей,1,2026-09-17 14:43:17.124,2026-09-17 16:41:24.849,4.1860465116279055,4.1860465116279055,824.0,824.0,1.97,0.08,False
prod_90aa2d1be4893a8f,mvideo,72,"Противень для духовки MEFERI BT01 65 л 478 x 365 x 31 , глубокий",электроника,бытовая техника,1,2026-09-17 14:43:17.129,2026-09-17 16:41:24.851,25.148205928237132,25.148205928237132,2399.0,2399.0,1.97,0.08,False
prod_41f71a665d573856,mvideo,33,"Лодочный мотор MARLIN MP 9.9 (15) AMHS, двухтактный, бензиновый",прочее,авто и мото,1,2026-09-17 14:43:17.130,2026-09-17 16:41:24.852,6.63414634146341,6.63414634146341,122496.0,122496.0,1.97,0.08,False
prod_74b2d50e138d2d0a,mvideo,63,Шина для мотоциклов Anlas Capra-R 100/90-19 57H,прочее,авто и мото,1,2026-09-17 14:43:17.133,2026-09-17 16:41:24.853,20.08648648648649,20.08648648648649,14784.0,14784.0,1.97,0.08,False
prod_b12b5621b7e3f2e3,mvideo,92,Шина для мотоциклов CST CM742 140/80 R18 70M (Задняя),прочее,авто и мото,1,2026-09-17 14:43:17.134,2026-09-17 16:41:24.854,21.279999999999998,21.279999999999998,3936.0,3936.0,1.97,0.08,False
prod_957e3455206ef383,mvideo,78,Преобразователь сигнала с высокого уровня на RCA DL Audio Phoenix Sport High Level to RCA Converter 6ch,электроника,электроника,1,2026-09-17 14:43:17.136,2026-09-17 16:41:24.854,8.814317673378081,8.814317673378081,4076.0,4076.0,1.97,0.08,False
