canonical_product_id,name,shop,category,group,episode_id,first_seen,last_seen,duration_hours,n_obs,original_price,promotion_price,discount_pct,saving
prod_5406ca549009b3b9,"Шампунь для волос SOKOLOV Basil&Mandarin, для объема волос , 750 мл",lenta,косметика,уход за волосами,42,2026-09-17 14:43:39.605,2026-09-17 16:37:29.391,1.9,6,2104.22,549.99,73.86,1554.23
prod_5730126abeae7fd8,"Гель для душа SOKOLOV Basil&Mandarin , 400мл",lenta,косметика,уход за телом,43,2026-09-17 14:44:22.977,2026-09-17 16:38:08.085,1.9,6,273.69,159.99,41.54,113.7
prod_5ce5cda4f9a38006,"Филе куриное в хрустящей корочке с кисло‑сладким соусом РЕСТО ШИК , 200г",lenta,продукты,готовая кулинария и консервы,49,2026-09-17 14:44:12.827,2026-09-17 16:37:58.834,1.9,5,199.99,189.99,5.0,10.0
prod_693e94418bf94ca0,"Мармелад жевательный ORION Tinglezz со вкусом колы и лайма , 75г",lenta,продукты,кондитерские изделия,56,2026-09-17 14:43:50.651,2026-09-17 16:37:37.960,1.9,5,315.79,254.99,19.25,60.8
prod_6d4ca4b35f51aeed,"Яйцо шоколадное MEGA SECRET Пираты-прилипалы , 20г",lenta,продукты,кондитерские изделия,57,2026-09-17 14:44:00.680,2026-09-17 16:37:46.862,1.9,5,61.09,49.99,18.17,11.1
prod_937bca8189695718,"Гель для душа SOKOLOV Dark Cherry&Almond , 400мл",lenta,косметика,уход за телом,74,2026-09-17 14:44:19.939,2026-09-17 16:38:05.225,1.9,5,273.69,159.99,41.54,113.7
prod_097c0e99025cb27c,"Скраб для тела Synergetic карамельное яблоко и ваниль, 300 мл",magnit,косметика,уход за телом,5,2026-09-17 14:43:16.373,2026-09-17 16:41:13.542,1.97,7,499.99,369.99,26.0,130.0
prod_17100641c1eedf94,"Чипсы Lays, в ассортименте, 225 г",magnit,продукты,снеки и сухие завтраки,11,2026-09-17 14:43:16.359,2026-09-17 16:41:13.536,1.97,7,279.99,244.99,12.5,35.0
prod_28af3758572fbd36,"Скраб для тела Synergetic Эластичность и сияние кожи, сандал и ягоды можжевельника, 300 мл",magnit,косметика,уход за телом,18,2026-09-17 14:43:16.367,2026-09-17 16:41:13.539,1.97,7,499.99,387.99,22.4,112.0
prod_45b70ae1eeb2d76e,"Мармелад жевательный Juuums вкус клубника со сливками, 80 г",magnit,продукты,кондитерские изделия,36,2026-09-17 14:43:16.352,2026-09-17 16:41:13.532,1.97,7,119.99,99.99,16.67,20.0
prod_50cc7f7a7b86f7ab,"Стакан для ванной Wellfort, стекло Bohemian",magnit,прочее,хозтовары,41,2026-09-17 14:43:16.355,2026-09-17 16:41:13.534,1.97,7,179.99,129.99,27.78,50.0
prod_5905c453c9877f8d,"Мороженое Свитлогорье эскимо с драже «Неон» и взрывной карамелью 12%, 80 г",magnit,продукты,мороженое,44,2026-09-17 14:43:16.349,2026-09-17 16:41:13.531,1.97,7,184.99,119.99,35.14,65.0
prod_5a544d6968ced320,"Мыльница Wellfort, стекло Bohemian",magnit,прочее,хозтовары,46,2026-09-17 14:43:16.354,2026-09-17 16:41:13.533,1.97,7,149.99,99.99,33.34,50.0
prod_5be826adba03ccc0,"Мороженое Bahroma пломбир шоколадный чизкейк, черное печенье 12%, 320 г",magnit,продукты,мороженое,47,2026-09-17 14:43:16.339,2026-09-17 16:41:13.527,1.97,7,769.99,499.99,35.07,270.0
prod_5c6a64bbe3f7cd80,"Скраб для тела Synergetic антицеллюлитный Пачули и ароматный бергамот, 300 мл",magnit,косметика,уход за телом,48,2026-09-17 14:43:16.375,2026-09-17 16:41:13.543,1.97,7,499.99,369.99,26.0,130.0
prod_61c4d629aa2094af,"Скраб для тела Рецепты бабушки Агафьи морошка на сахаре, 300 мл",magnit,косметика,уход за телом,52,2026-09-17 14:43:16.365,2026-09-17 16:41:13.538,1.97,7,229.99,199.99,13.04,30.0
prod_63824390026c58c5,"Скраб для тела Synergetic Цветущий инжир и лотос, 300 мл",magnit,косметика,уход за телом,53,2026-09-17 14:43:16.369,2026-09-17 16:41:13.540,1.97,7,499.99,387.99,22.4,112.0
prod_754459bb5e9acffc,"Мороженое Коровка из Кореновки Фисташковое пралине с макаронс и миндалем 15%, 300 г",magnit,продукты,мороженое,64,2026-09-17 14:43:16.337,2026-09-17 16:41:13.527,1.97,7,599.99,449.99,25.0,150.0
