"canonical_product_id","name","shop","date","original_price","promotion_price","match_status"
"prod_1d885b0e2585992d","Карите Набор Маленькие радости","iledebeaute","2026-09-17 15:06:08.052",2844,1706,"provisional"
"prod_1d885b0e2585992d","Карите Набор Маленькие радости","iledebeaute","2026-09-17 15:17:07.819",2844,1706,"provisional"
"prod_1d885b0e2585992d","Карите Набор Маленькие радости","iledebeaute","2026-09-17 15:28:24.459",2844,1706,"provisional"
"prod_1d885b0e2585992d","Карите Набор Маленькие радости","iledebeaute","2026-09-17 16:37:09.230",2844,1706,"provisional"
"prod_203c8a6b8f2a2852","Килт банный для мужчин Everliness Килт махровый мужской с вышивкой","mvideo","2026-09-17 14:43:17.138",2500,1707,"provisional"
"prod_203c8a6b8f2a2852","Килт банный для мужчин Everliness Килт махровый мужской с вышивкой","mvideo","2026-09-17 14:53:23.781",2500,1707,"provisional"
"prod_203c8a6b8f2a2852","Килт банный для мужчин Everliness Килт махровый мужской с вышивкой","mvideo","2026-09-17 15:03:26.677",2500,1707,"provisional"
"prod_203c8a6b8f2a2852","Килт банный для мужчин Everliness Килт махровый мужской с вышивкой","mvideo","2026-09-17 15:13:29.222",2500,1707,"provisional"
"prod_203c8a6b8f2a2852","Килт банный для мужчин Everliness Килт махровый мужской с вышивкой","mvideo","2026-09-17 15:23:32.177",2500,1707,"provisional"
"prod_203c8a6b8f2a2852","Килт банный для мужчин Everliness Килт махровый мужской с вышивкой","mvideo","2026-09-17 16:31:23.274",2500,1707,"provisional"
"prod_203c8a6b8f2a2852","Килт банный для мужчин Everliness Килт махровый мужской с вышивкой","mvideo","2026-09-17 16:41:24.856",2500,1707,"provisional"
"prod_206d158aa149d5f8","Тонер-пэды для лица `DR. ALTHEA` ANASTATICA SKIN CONDITIONING PAD увлажняющие с экстрактом иерихонской розы 65 шт","podruzhka","2026-09-17 15:05:41.613",3152,2679,"provisional"
"prod_206d158aa149d5f8","Тонер-пэды для лица `DR. ALTHEA` ANASTATICA SKIN CONDITIONING PAD увлажняющие с экстрактом иерихонской розы 65 шт","podruzhka","2026-09-17 15:15:47.452",3152,2679,"provisional"
"prod_206d158aa149d5f8","Тонер-пэды для лица `DR. ALTHEA` ANASTATICA SKIN CONDITIONING PAD увлажняющие с экстрактом иерихонской розы 65 шт","podruzhka","2026-09-17 15:25:51.643",3152,2679,"provisional"
"prod_206d158aa149d5f8","Тонер-пэды для лица `DR. ALTHEA` ANASTATICA SKIN CONDITIONING PAD увлажняющие с экстрактом иерихонской розы 65 шт","podruzhka","2026-09-17 16:33:44.879",3152,2679,"provisional"
"prod_27ddb5693e7ad6b5","Паштет шпротный , 160г","lenta","2026-09-17 14:43:26.704",45.29,42.99,"provisional"
"prod_27ddb5693e7ad6b5","Паштет шпротный , 160г","lenta","2026-09-17 14:54:40.529",45.29,42.99,"provisional"
"prod_27ddb5693e7ad6b5","Паштет шпротный , 160г","lenta","2026-09-17 15:05:59.604",45.29,42.99,"provisional"
"prod_27ddb5693e7ad6b5","Паштет шпротный , 160г","lenta","2026-09-17 15:17:20.697",45.29,42.99,"provisional"
"prod_27ddb5693e7ad6b5","Паштет шпротный , 160г","lenta","2026-09-17 15:28:34.182",45.29,42.99,"provisional"
"prod_27ddb5693e7ad6b5","Паштет шпротный , 160г","lenta","2026-09-17 16:37:17.955",45.29,42.99,"provisional"
